datetime,aqi,pm25,pm10,co,no2,o3,so2,temp,humidity,pressure,wind
2025-01-01 00:00,185,121.64,170.55,1321.79,24.33,73.67,19.31,,,,
2025-01-01 01:00,184,120.37,166.26,1295.09,25.02,75.82,19.79,,,,
2025-01-01 02:00,189,128.43,174.78,1482.01,33.59,72.96,22.65,,,,
2025-01-01 03:00,209,158.69,214.13,2189.64,61.69,54.36,29.09,,,,
2025-01-01 04:00,229,178.27,247.68,2777.1,82.25,43.27,34.33,,,,
2025-01-01 05:00,233,183.25,262.43,2937.32,80.2,52.93,37.67,,,,
2025-01-01 06:00,234,184.2,267.1,2696.99,70.6,78.68,42.44,,,,
2025-01-01 07:00,214,163.51,242.92,2056.12,53.47,115.87,47.21,,,,
2025-01-01 08:00,199,149.43,226.28,1708.98,45.24,138.76,57.22,,,,
2025-01-01 09:00,193,135.98,213.3,1455.31,41.13,150.2,68.66,,,,
2025-01-01 10:00,185,121.73,197.42,1295.09,40.44,150.2,73.43,,,,
2025-01-01 11:00,185,120.54,196.7,1455.31,51.41,140.19,80.11,,,,
2025-01-01 12:00,185,120.93,198.26,1682.28,65.8,120.16,85.83,,,,
2025-01-01 13:00,191,133.4,215.62,2243.04,94.59,82.25,87.74,,,,
2025-01-01 14:00,212,161.8,254.03,3097.53,127.49,43.27,79.15,,,,
2025-01-01 15:00,245,195.22,298.16,3738.4,142.57,21.28,65.8,,,,
2025-01-01 16:00,269,219.42,331.2,3845.21,127.49,17.34,53.41,,,,
2025-01-01 17:00,267,216.98,331.08,3364.56,97.33,28.97,42.92,,,,
2025-01-01 18:00,254,203.57,312.09,2830.51,72.66,42.92,36.24,,,,
2025-01-01 19:00,233,182.52,278.93,2323.15,56.21,53.64,30.52,,,,
2025-01-01 20:00,210,159.49,240.54,1842.5,44.55,64.37,25.03,,,,
2025-01-01 21:00,197,145.42,213.2,1468.66,32.9,75.1,21.22,,,,
2025-01-01 22:00,198,146.7,207.26,1335.14,26.39,80.82,20.27,,,,
2025-01-01 23:00,204,154.01,211.54,1348.5,24.68,81.54,20.03,,,,
2025-01-02 00:00,209,158.2,214.34,1388.55,24.68,79.39,20.27,,,,
2025-01-02 00:00,209,158.2,214.34,1388.55,24.68,79.39,20.27,,,,
2025-01-02 01:00,211,160.47,215.91,1455.31,27.42,75.82,20.5,,,,
2025-01-02 02:00,222,171.36,228.2,1762.39,39.76,65.8,22.89,,,,
2025-01-02 03:00,268,218.3,284.69,2883.91,81.57,34.33,29.8,,,,
2025-01-02 04:00,313,263.07,343.19,4165.65,113.79,12.7,36.72,,,,
2025-01-02 05:00,325,274.52,364.42,4592.9,113.79,19.49,42.44,,,,
2025-01-02 06:00,326,275.44,369.52,4219.06,108.3,42.56,49.11,,,,
2025-01-02 07:00,284,233.85,322.35,2990.72,84.31,90.12,55.31,,,,
